ticker,year,soft_Environmental_combined_score,soft_Social_combined_score,soft_Governance_combined_score,soft_overall,hard_Environmental,hard_Social,hard_Governance,hard_overall
AAPL,2022,0.0,0.059030955934934286,0.6145055125797557,0.2245121561715633,0.39552551180356454,0.3642393579575266,0.6115987202474134,0.45712119666950146
AAPL,2023,0.0,0.21098349775246472,1.0,0.40366116591748824,0.45820081758931186,0.17434292059020517,0.6889757285774766,0.44050648891899785
AAPL,2024,0.04596653956495794,0.26882430139093777,0.9814471444075237,0.4320793284544731,0.19534253097892285,0.36231241490872157,0.8495029583344753,0.4690526347407065
AAPL,2025,0.0,0.21333993389800943,0.8883609089418016,0.367233614279937,0.759377340578255,0.11052584513644091,0.4168048357222627,0.42890267381231956
MSFT,2023,0.13305849876963854,0.15631866398150074,0.6644862514713717,0.3179544714075037,0.8999223497409378,0.43417542261990294,0.604348544573647,0.6461487723114959
MSFT,2024,0.004858026583365396,0.20074180430316588,0.73432944461109,0.31330975849920706,0.14330530561347843,0.7396632989582723,0.8475640577714659,0.5768442207810722
MSFT,2025,0.04707765365644538,0.19063713245316796,1.0,0.41257159536987115,0.1942051471155696,0.19616901584047783,0.5802756710515413,0.32354994466919623
MSFT,2022,0.10447711296056371,0.10136627641002813,0.9971312755683612,0.400991554979651,0.6706584230489038,0.5073873919779229,0.25160118714355273,0.47654900072345985
GOOG,2023,0.0,0.237770703053525,0.46291565022906467,0.23356211776086322,0.5379318508015658,0.7201478986610079,0.32807744353856116,0.5287190643337116
GOOG,2025,0.10242578528599533,0.24569582426399855,0.9395430028497302,0.4292215374665747,0.6802166299163788,0.6839879938781043,0.8906636179044513,0.7516227472329781
AMZN,2023,0.029869610003160598,0.341415853018348,0.1348943916401962,0.16872661822056825,0.7740117239186131,0.4420405959729744,0.4227801029270769,0.5462774742728881
AMZN,2024,0.2660903344711405,0.05437780819012439,0.9549768754637703,0.42514833937501173,0.493264870208176,0.2539530504163164,0.34972034166947097,0.36564608743132115
AMZN,2025,0.2147347756064236,0.04831301255415007,0.9101668412031999,0.39107154312125786,0.3753776367599855,0.6770445284219482,0.6945340784071273,0.5823187478630203
AMZN,2026,0.19689116883042923,0.0,0.9520548878888119,0.3829820189064137,0.30289092879186574,0.32323643815091296,0.3838581380487771,0.33666183499718527
JPM,2023,0.002422445468629345,0.010558931652788511,0.39002118146005205,0.13433418619382329,0.16709284030795557,0.5374528911264552,0.22939789547645645,0.3113145423036224
JPM,2024,0.0,0.2030722135809308,0.9230073205141325,0.37535984469835443,0.7841349221788741,0.3606834668446134,0.8217779381248098,0.6555321090494325
JPM,2025,0.06595453288137038,0.2926128124585292,1.0,0.45285578177996655,0.6321714281366154,0.2418465593942611,0.6066956785067951,0.4935712220125572
JPM,2026,0.05323580445389873,0.028718585742255883,0.0,0.02731813006538487,0.7495650293951969,0.5154301860483917,0.674536976365918,0.6465107306031689
SYM001,2022,0.9634560939647404,1.0,1.0,0.9878186979882467,0.3134660119917039,0.24089772169222395,0.5570028185570064,0.37045551741364474
SYM001,2023,1.0,1.0,0.9941953547729349,0.998065118257645,0.12170461771796842,0.22870583107228795,0.46513435166528905,0.27184826681851515
SYM001,2024,1.0,1.0,1.0,1.0,0.507640981334032,0.5752242642132627,0.49232924103504905,0.5250648288607812
SYM002,2022,0.9616844553775801,1.0,0.9763988413648987,0.9793610989141596,0.5246695804200937,0.49872500033855605,0.671729944153902,0.5650415083041839
SYM002,2023,0.9864686030247978,1.0,0.9765637056041612,0.987677436209653,0.4183283247814331,0.8037599259937377,0.7566211494203202,0.6595698000651636
SYM002,2024,1.0,0.956350358198559,1.0,0.9854501193995197,0.37227511737796337,0.8137076658210549,0.3093568529397379,0.4984465453795854
SYM003,2022,0.9357709129117452,1.0,0.9233520253920774,0.9530409794346074,0.21704679220152176,0.658310154795714,0.6692769483482028,0.5148779651151462
SYM003,2023,0.9309023406085569,1.0,0.9370894879124732,0.9559972761736768,0.426023207484178,0.6812116333773904,0.3870265545175954,0.49808713179305464
SYM003,2024,1.0,1.0,1.0,1.0,0.5080670577283853,0.6505470931807986,0.8496774025973409,0.6694305178355083
SYM004,2022,1.0,0.9856798966905349,1.0,0.9952266322301783,0.11363410860954418,0.32717118939320733,0.8723909738124599,0.4377320906050704
SYM004,2023,0.952603104825247,0.9998977745503965,1.0,0.9841669597918812,0.17874126269890933,0.6381243258104103,0.12594866572272548,0.3142714180773484
SYM004,2024,0.9531818318195745,0.9811514942301572,1.0,0.9781111086832439,0.6405661190909828,0.4592898673480187,0.6726050848373324,0.5908203570921112
SYM005,2022,1.0,1.0,0.980750483405582,0.9935834944685272,0.5175614763004782,0.3031335857951726,0.4916412173540927,0.43744542648324786
SYM005,2023,0.9715461612664688,0.974823321534726,0.9680953668204202,0.971488283207205,0.615361577689258,0.8454519491657493,0.44101774872028854,0.6339437585250987
SYM005,2024,1.0,0.9167823042303899,1.0,0.9722607680767966,0.788301084932637,0.786977246028051,0.529927817900584,0.7017353829537573
SYM006,2022,1.0,0.9572776738375789,1.0,0.9857592246125263,0.7231422149646316,0.6688154770874268,0.6362918189827916,0.67608317034495
SYM006,2023,1.0,0.9426268644055988,0.9298561046885092,0.9574943230313693,0.7371064844519951,0.6414031797838413,0.7577514319424107,0.7120870320594156
SYM006,2024,0.9689268716640927,1.0,0.9505653946053985,0.973164088756497,0.48483443310379837,0.8797364697339399,0.20959274056445834,0.5247212144673989
SYM007,2022,1.0,1.0,1.0,1.0,0.8888844813285591,0.763041168678217,0.20627748391139733,0.6194010446393912
SYM007,2023,0.9271158225596231,1.0,1.0,0.9757052741865411,0.2848707353012686,0.4019420047596115,0.2830315260071557,0.32328142202267857
SYM007,2024,1.0,1.0,0.9887682076628524,0.9962560692209509,0.8482278933186721,0.8491836090129917,0.788271843205563,0.8285611151790756
SYM008,2022,0.989819498368156,1.0,0.9050808868335347,0.9649667950672303,0.4396606696486549,0.613014059328256,0.760360720836365,0.6043451499377587
SYM008,2023,1.0,0.9815777702897023,0.9893357212817706,0.990304497190491,0.6782867050916404,0.24876566425719046,0.3374408031126942,0.4214977241538416
SYM008,2024,1.0,1.0,1.0,1.0,0.414397881629341,0.3765640072328379,0.5107755643244113,0.43391248439553004
SYM009,2022,0.9805764642295713,0.9219352550315842,0.9176317855369901,0.9400478349327153,0.7272559252103837,0.13885632867806566,0.4446914283277271,0.43693456073872544
SYM009,2023,1.0,1.0,0.9779415133169969,0.9926471711056656,0.2771616388276631,0.3128554063699017,0.1353554853076666,0.24179084350174382
SYM009,2024,1.0,0.9968986843084904,1.0,0.9989662281028302,0.8709475080458745,0.17033187424950985,0.29363268641270085,0.4449706895693617
SYM010,2022,0.9990299152160604,0.9529311947880739,0.9624089427640016,0.9714566842560454,0.3347669709356276,0.709931850187873,0.26507544459245436,0.43659142190531836
SYM010,2023,0.9616054315573643,0.8998641955576969,0.9857005350585347,0.9490567207245321,0.32625470572455983,0.23164050645614137,0.8019972004820254,0.4532974708875755
SYM010,2024,1.0,1.0,1.0,1.0,0.8767808331659553,0.579321126131699,0.2245853747601097,0.560229111352588
SYM011,2022,0.9838200187565427,1.0,1.0,0.9946066729188475,0.6941226113973202,0.7199279735349643,0.7174439183555933,0.7104981677626259
SYM011,2023,1.0,1.0,0.9684013302599702,0.9894671100866567,0.4913125255916956,0.4034204515708464,0.7403595226555159,0.545030833272686
SYM011,2024,1.0,0.8935724328801448,1.0,0.9645241442933816,0.10244867482505252,0.5709299627192332,0.6394965996937454,0.43762507907934367
SYM012,2022,1.0,0.9187392231405767,1.0,0.9729130743801923,0.7314154336940659,0.7047939942413618,0.46406408150193634,0.633424503145788
SYM012,2023,1.0,0.9501517183377618,0.9351548168401599,0.9617688450593072,0.5595512131052269,0.8831382664248738,0.28834426630426446,0.577011248611455
SYM012,2024,0.9342401592943331,0.9520921886272067,0.9733900337771464,0.9532407938995622,0.858321686731227,0.743388405759449,0.2907973528364739,0.63083581510905
SYM013,2022,0.9852241084871738,1.0,1.0,0.9950747028290579,0.4171972680516197,0.20352959503562973,0.618108222960785,0.41294502868267813
SYM013,2023,1.0,0.9891428787767138,0.9201211781437466,0.9697546856401535,0.8538397853429811,0.615201537308506,0.8375863652800138,0.768875895977167
SYM013,2024,0.9606545030005126,0.8882185387371861,1.0,0.9496243472458996,0.7175392764389692,0.7781418610529938,0.5734798503608999,0.6897203292842876
SYM014,2022,1.0,0.980674733755647,0.9190578960065753,0.9665775432540741,0.6540470773413083,0.5086950457172755,0.5917141283189282,0.5848187504591708
SYM014,2023,1.0,1.0,1.0,1.0,0.8028118157294436,0.5921793001187735,0.17229515111405702,0.5224287556540914
SYM014,2024,0.9415598427425114,1.0,0.9811716142211603,0.9742438189878905,0.2701259875773063,0.7248367608242358,0.2027123406943897,0.39922502969864393
SYM015,2022,1.0,0.9498821049472511,0.9828329935854916,0.9775716995109143,0.19523600701364982,0.29568053924190263,0.6409681232231352,0.3772948898262292
SYM015,2023,0.9864919836213198,0.8853012599064902,1.0,0.95726441450927,0.30951935031924993,0.3185255426423741,0.6005968973170113,0.4095472634262118
SYM015,2024,0.9949072008270681,1.0,0.9968230938912941,0.9972434315727874,0.4380681285258018,0.3542456487751815,0.47384156280027556,0.42205178003375293
SYM016,2022,0.9425760747621741,0.9532984822231387,0.9922856241969559,0.9627200603940896,0.2985393301332193,0.5052115778984129,0.24725878574931281,0.3503365645936483
SYM016,2023,0.9801645236295602,0.9566242452895211,1.0,0.9789295896396938,0.185831585483826,0.5176392469961136,0.22770494302426336,0.3103919251680677
SYM016,2024,0.9747065023968328,0.9524436181671153,0.9829359651332513,0.9700286952323998,0.36873374824391536,0.8407356126560444,0.7353343614574199,0.6482679074524599
SYM017,2022,1.0,1.0,1.0,1.0,0.6160797868518875,0.47592111297246,0.10992881816659139,0.400643239330313
SYM017,2023,0.9393182176782132,0.9942896420315582,1.0,0.9778692865699238,0.4821153951736834,0.8440207453759034,0.5571489977324166,0.6277617127606678
SYM017,2024,0.98966764086323,1.0,1.0,0.9965558802877433,0.7968124942965533,0.28351765568287457,0.16542199836127783,0.4152507161135686
SYM018,2022,0.9868214104863002,0.9789882671075484,1.0,0.9886032258646162,0.2510689273926383,0.6189164441058581,0.10869663241408177,0.32622733463752607
SYM018,2023,1.0,1.0,1.0,1.0,0.4350232102649113,0.37205399893678126,0.8781153240472069,0.5617308444162998
SYM018,2024,1.0,1.0,0.9311938283066907,0.9770646094355636,0.4104549457897314,0.1004526015320379,0.6607105830126117,0.39053937677812706
SYM019,2022,0.9563576747109356,1.0,1.0,0.9854525582369785,0.388476522434402,0.45519274943870325,0.7095024127834625,0.5177238948855226
SYM019,2023,1.0,1.0,1.0,1.0,0.6976565982266876,0.2924535049894644,0.5369043334457365,0.5090048122206294
SYM019,2024,0.9567194122522147,1.0,0.9519442377971514,0.9695545500164554,0.19475381624832544,0.13665555906260718,0.8021632047811215,0.37785752669735134
SYM020,2022,0.9428440626694831,1.0,1.0,0.9809480208898277,0.45806915109682833,0.3796728879433504,0.17854245015799697,0.3387614963993919
SYM020,2023,1.0,1.0,1.0,1.0,0.810940312877548,0.49160374869494805,0.2495817335860827,0.5173752650528596
SYM020,2024,0.9745425295332157,0.9872902832976325,1.0,0.9872776042769494,0.15852600233265512,0.6430719533480539,0.31093684965956403,0.37084493511342437
SYM021,2022,0.9824053013938107,1.0,1.0,0.9941351004646036,0.1256238268247162,0.8411081803827163,0.3880629616993617,0.4515983229689314
SYM021,2023,1.0,1.0,1.0,1.0,0.1677549938483538,0.14398347617355603,0.2877930254691645,0.19984383183035812
SYM021,2024,1.0,0.9674124663150658,0.9568034006438499,0.9747386223196385,0.16720485004708702,0.3104149040919504,0.12695010039776156,0.20152328484559967
SYM022,2022,1.0,1.0,1.0,1.0,0.5833339984925143,0.24316272962644742,0.1358722349805076,0.32078965436648976
SYM022,2023,0.9734343355367499,0.982342022228066,0.988708169492392,0.9814948424190693,0.24842257282708646,0.6639232266774646,0.29116703148483414,0.4011709436631284
SYM022,2024,1.0,0.9631585476405911,0.9876561669136774,0.9836049048514228,0.43765433640630047,0.21763330749304421,0.4446214423445115,0.3666363620812854
SYM023,2022,1.0,1.0,1.0,1.0,0.6331707431710943,0.3711369410904193,0.3655563198859614,0.456621334715825
SYM023,2023,1.0,1.0,1.0,1.0,0.44768455940490715,0.2735396503712998,0.7315144894230743,0.48424623306642706
SYM023,2024,0.9885317972243521,1.0,0.9954425128815579,0.9946581033686367,0.17910588308150857,0.7820903278577073,0.25665538464886933,0.40595053186269503
SYM024,2022,0.9540992995642785,0.979834321468483,1.0,0.9779778736775873,0.39977486620608693,0.10591776650248397,0.3714416272189718,0.29237808664251425
SYM024,2023,1.0,1.0,1.0,1.0,0.896685856999832,0.8031219918122887,0.14575037593140944,0.61518607491451
SYM024,2024,0.9955459488217677,0.9829833944460491,1.0,0.9928431144226056,0.631530327931777,0.2615485614665074,0.6674733206259532,0.5201840700080792
SYM025,2022,1.0,1.0,1.0,1.0,0.86460595998964,0.38626099904547173,0.7203565718426046,0.657074510292572
SYM025,2023,1.0,0.9724725938103702,0.9616693853766048,0.9780473263956583,0.5074866900238024,0.8494145168560742,0.1132039748258344,0.4900350605685703
SYM025,2024,0.9275472249529751,1.0,1.0,0.975849074984325,0.8113439332531502,0.7029010029096021,0.7376130047411695,0.7506193136346407
SYM026,2022,0.9237183471926121,0.9882762287014962,0.9796597160059969,0.9638847639667018,0.6351762477662763,0.7312938261140655,0.6448003277266323,0.6704234672023247
SYM026,2023,1.0,1.0,0.9926589316814197,0.9975529772271399,0.821916037080645,0.3429645526026617,0.1273018315245353,0.4307274737359474
SYM026,2024,1.0,1.0,1.0,1.0,0.5902992324248939,0.744850685152817,0.7263013563172488,0.6871504246316533
SYM027,2022,0.9431173786850138,0.9909337528072211,1.0,0.9780170438307451,0.21558127601214566,0.41015186902762757,0.6265024155015307,0.4174118535137679
